,id,terrestrial_date,sol,ls,month,min_temp,pressure
0,2,8/16/12,10,155,6,-75,739
1,13,8/17/12,11,156,6,-76,740
2,24,8/18/12,12,156,6,-76,741
3,35,8/19/12,13,157,6,-74,732
4,46,8/20/12,14,157,6,-74,740
5,57,8/21/12,15,158,6,-78,740
6,68,8/22/12,16,158,6,-77,740
7,79,8/23/12,17,159,6,-76,742
8,112,8/27/12,21,161,6,-74,741
9,114,8/28/12,22,162,6,-74,742
10,123,8/29/12,23,162,6,-75,741
11,134,8/30/12,24,163,6,-75,742
12,145,8/31/12,25,163,6,-75,743
13,156,9/1/12,26,164,6,-76,745
14,163,9/2/12,27,164,6,-75,743
15,170,9/3/12,28,165,6,-75,745
16,171,9/4/12,29,166,6,-75,747
17,172,9/5/12,30,166,6,-74,747
18,173,9/6/12,31,167,6,-74,745
19,175,9/8/12,33,168,6,-73,748
20,176,9/10/12,34,168,6,-73,748
21,177,9/11/12,35,169,6,-73,749
22,178,9/12/12,36,169,6,-73,750
23,179,9/13/12,37,170,6,-73,750
24,180,9/14/12,38,171,6,-73,750
25,181,9/15/12,39,171,6,-75,751
26,182,9/16/12,40,172,6,-75,753
27,183,9/17/12,41,172,6,-75,753
28,184,9/18/12,42,173,6,-75,754
29,185,9/19/12,43,173,6,-74,756
30,186,9/20/12,44,174,6,-75,757
31,187,9/21/12,45,175,6,-74,758
32,188,9/22/12,46,175,6,-74,758
33,189,9/23/12,47,176,6,-75,758
34,190,9/24/12,48,176,6,-75,759
35,191,9/25/12,49,177,6,-74,761
36,192,9/26/12,50,177,6,-72,761
37,193,9/27/12,51,178,6,-76,762
38,194,9/28/12,52,179,6,-74,762
39,195,9/29/12,53,179,6,-71,764
40,196,9/30/12,54,180,7,-72,766
41,197,10/1/12,55,180,7,-74,766
42,198,10/2/12,56,181,7,-73,768
43,199,10/3/12,57,181,7,-73,769
44,200,10/4/12,58,182,7,-74,769
45,201,10/5/12,59,183,7,-76,771
46,202,10/6/12,60,183,7,-75,772
47,203,10/7/12,61,184,7,-72,772
48,204,10/8/12,62,184,7,-72,774
49,205,10/9/12,63,185,7,-73,775
50,206,10/10/12,64,186,7,-74,776
51,207,10/11/12,65,186,7,-72,777
52,208,10/12/12,66,187,7,-73,778
53,209,10/13/12,67,187,7,-73,780
54,210,10/14/12,68,188,7,-71,781
55,211,10/15/12,69,189,7,-73,778
56,212,10/17/12,70,189,7,-72,783
57,213,10/18/12,71,190,7,-71,784
58,214,10/19/12,72,190,7,-73,785
59,215,10/20/12,73,191,7,-70,788
60,216,10/21/12,74,192,7,-72,790
61,217,10/22/12,75,192,7,-73,791
62,218,10/23/12,76,193,7,-73,792
63,219,10/24/12,77,193,7,-71,792
64,220,10/25/12,78,194,7,-71,793
65,221,10/26/12,79,195,7,-73,795
66,222,10/27/12,80,195,7,-70,796
67,223,10/28/12,81,196,7,-72,798
68,224,10/29/12,82,196,7,-72,799
69,225,10/30/12,83,197,7,-72,801
70,226,10/31/12,84,198,7,-70,801
71,227,11/1/12,85,198,7,-71,805
72,228,11/2/12,86,199,7,-71,808
73,229,11/3/12,87,199,7,-70,808
74,230,11/4/12,88,200,7,-70,811
75,231,11/5/12,89,201,7,-73,813
76,233,11/6/12,90,201,7,-71,813
77,234,11/7/12,91,202,7,-74,817
78,235,11/8/12,92,202,7,-74,820
79,236,11/9/12,93,203,7,-72,819
80,237,11/10/12,94,204,7,-70,822
81,238,11/11/12,95,204,7,-68,822
82,239,11/12/12,96,205,7,-71,826
83,240,11/13/12,97,206,7,-68,828
84,241,11/14/12,98,206,7,-68,828
85,242,11/15/12,99,207,7,-68,829
86,3,11/16/12,100,207,7,-66,829
87,4,11/17/12,101,208,7,-65,830
88,5,11/18/12,102,209,7,-67,833
89,6,11/19/12,103,209,7,-66,836
90,7,11/20/12,104,210,8,-67,838
91,8,11/21/12,105,211,8,-66,839
92,9,11/23/12,106,211,8,-66,841
93,10,11/24/12,107,212,8,-66,844
94,11,11/25/12,108,212,8,-65,845
95,12,11/26/12,109,213,8,-64,844
96,14,11/27/12,110,214,8,-65,848
97,15,11/28/12,111,214,8,-66,849
98,16,11/29/12,112,215,8,-65,852
99,17,11/30/12,113,216,8,-66,857
100,18,12/1/12,114,216,8,-69,857
101,19,12/2/12,115,217,8,-66,857
102,20,12/3/12,116,217,8,-67,859
103,21,12/4/12,117,218,8,-66,861
104,22,12/5/12,118,219,8,-65,864
105,23,12/6/12,119,219,8,-66,866
106,25,12/7/12,120,220,8,-67,867
107,26,12/8/12,121,221,8,-66,869
108,27,12/9/12,122,221,8,-65,869
109,28,12/10/12,123,222,8,-66,875
110,29,12/11/12,124,223,8,-66,876
111,30,12/12/12,125,223,8,-68,880
112,31,12/13/12,126,224,8,-66,880
113,32,12/14/12,127,224,8,-67,884
114,33,12/15/12,128,225,8,-67,883
115,34,12/16/12,129,226,8,-65,886
116,36,12/17/12,130,226,8,-65,888
117,37,12/18/12,131,227,8,-65,889
118,38,12/19/12,132,228,8,-65,890
119,39,12/20/12,133,228,8,-65,891
120,40,12/21/12,134,229,8,-67,893
121,41,12/22/12,135,230,8,-65,894
122,42,12/23/12,136,230,8,-65,897
123,43,12/24/12,137,231,8,-64,896
124,44,12/25/12,138,232,8,-65,899
125,45,12/26/12,139,232,8,-66,899
126,47,12/27/12,140,233,8,-66,903
127,48,12/28/12,141,233,8,-64,904
128,49,12/29/12,142,234,8,-65,906
129,50,12/31/12,143,235,8,-63,908
130,51,1/1/13,144,235,8,-64,907
131,52,1/2/13,145,236,8,-64,909
132,53,1/3/13,146,237,8,-65,908
133,54,1/4/13,147,237,8,-65,914
134,55,1/5/13,148,238,8,-65,912
135,56,1/6/13,149,239,8,-65,914
136,58,1/7/13,150,239,8,-64,913
137,59,1/8/13,151,240,9,-65,915
138,60,1/9/13,152,241,9,-63,914
139,61,1/10/13,153,241,9,-65,915
140,62,1/11/13,154,242,9,-65,917
141,63,1/12/13,155,243,9,-64,917
142,64,1/13/13,156,243,9,-65,922
143,65,1/14/13,157,244,9,-64,920
144,66,1/15/13,158,245,9,-66,922
145,67,1/16/13,159,245,9,-65,918
146,69,1/17/13,160,246,9,-67,919
147,70,1/18/13,161,246,9,-65,919
148,71,1/19/13,162,247,9,-65,919
149,72,1/20/13,163,248,9,-65,919
150,73,1/21/13,164,248,9,-64,919
151,74,1/22/13,165,249,9,-65,922
152,75,1/23/13,166,250,9,-65,922
153,76,1/24/13,167,250,9,-65,920
154,77,1/25/13,168,251,9,-66,923
155,78,1/26/13,169,252,9,-66,922
156,80,1/27/13,170,252,9,-66,925
157,81,1/28/13,171,253,9,-67,925
158,82,1/29/13,172,254,9,-67,923
159,83,1/30/13,173,254,9,-67,920
160,84,1/31/13,174,255,9,-67,921
161,85,2/1/13,175,256,9,-68,921
162,86,2/2/13,176,256,9,-67,920
163,87,2/3/13,177,257,9,-66,921
164,88,2/4/13,178,258,9,-66,920
165,89,2/6/13,179,258,9,-66,920
166,91,2/7/13,180,259,9,-67,919
167,92,2/8/13,181,260,9,-67,918
168,93,2/9/13,182,260,9,-67,921
169,94,2/10/13,183,261,9,-67,921
170,95,2/11/13,184,261,9,-67,923
171,96,2/12/13,185,262,9,-67,923
172,97,2/13/13,186,263,9,-66,922
173,98,2/14/13,187,263,9,-67,921
174,99,2/15/13,188,264,9,-68,920
175,100,2/16/13,189,265,9,-68,920
176,102,2/17/13,190,265,9,-66,917
177,103,2/18/13,191,266,9,-67,921
178,106,2/23/13,196,269,9,-66,916
179,107,2/24/13,197,270,10,-68,915
180,108,2/25/13,198,271,10,-67,914
181,109,2/26/13,199,271,10,-66,917
182,116,3/23/13,223,287,10,-71,895
183,117,3/24/13,224,287,10,-69,894
184,118,3/25/13,225,288,10,-71,894
185,119,3/26/13,226,288,10,-70,894
186,120,3/27/13,227,289,10,-70,892
187,121,3/28/13,228,290,10,-71,894
188,122,3/29/13,229,290,10,-69,894
189,124,3/30/13,230,291,10,-69,888
190,125,3/31/13,231,292,10,-71,890
191,126,4/1/13,232,292,10,-69,888
192,127,4/2/13,233,293,10,-69,889
193,128,4/3/13,234,293,10,-69,890
194,129,4/4/13,235,294,10,-70,886
195,130,4/5/13,236,295,10,-72,886
196,131,4/6/13,237,295,10,-71,883
197,132,4/7/13,238,296,10,-70,885
198,133,4/8/13,239,297,10,-73,885
199,135,4/9/13,240,297,10,-70,884
200,136,4/10/13,241,298,10,-72,884
201,137,4/11/13,242,298,10,-70,881
202,138,4/12/13,243,299,10,-71,884
203,139,4/13/13,244,300,11,-69,878
204,140,4/14/13,245,300,11,-70,879
205,141,4/15/13,246,301,11,-73,878
206,142,4/16/13,247,301,11,-71,873
207,143,4/17/13,248,302,11,-70,877
208,144,4/18/13,249,303,11,-69,873
209,146,4/19/13,250,303,11,-70,877
210,147,4/20/13,251,304,11,-71,876
211,148,4/22/13,252,304,11,-71,874
212,149,4/23/13,253,305,11,-71,877
213,150,4/24/13,254,306,11,-70,871
214,151,4/25/13,255,306,11,-69,877
215,152,4/26/13,256,307,11,-70,871
216,153,4/27/13,257,308,11,-70,871
217,154,4/28/13,258,308,11,-71,869
218,155,4/29/13,259,309,11,-72,871
219,157,4/30/13,260,309,11,-70,875
220,158,5/1/13,261,310,11,-70,868
221,161,5/8/13,268,314,11,-70,864
222,162,5/9/13,269,315,11,-72,866
223,164,5/10/13,270,315,11,-67,863
224,165,5/11/13,271,316,11,-69,864
225,166,5/12/13,272,316,11,-71,864
226,167,5/13/13,273,317,11,-70,861
227,168,5/14/13,274,318,11,-70,861
228,169,5/15/13,275,318,11,-67,860
229,244,5/16/13,276,319,11,-69,858
230,245,5/17/13,277,319,11,-69,857
231,246,5/18/13,278,320,11,-67,855
232,247,5/19/13,279,321,11,-68,856
233,248,5/20/13,280,321,11,-69,856
234,249,5/21/13,281,322,11,-68,855
235,250,5/22/13,282,322,11,-72,856
236,251,5/23/13,283,323,11,-68,854
237,252,5/24/13,284,323,11,-71,854
238,253,5/25/13,285,324,11,-70,852
239,254,5/26/13,286,325,11,-71,854
240,255,5/27/13,287,325,11,-72,856
241,256,5/29/13,288,326,11,-69,854
242,257,5/30/13,289,326,11,-71,854
243,258,5/31/13,290,327,11,-71,853
244,259,6/1/13,291,327,11,-70,853
245,260,6/2/13,292,328,11,-71,853
246,261,6/3/13,293,329,11,-72,850
247,262,6/4/13,294,329,11,-72,852
248,263,6/5/13,295,330,12,-71,853
249,264,6/6/13,296,330,12,-71,850
250,265,6/7/13,297,331,12,-72,849
251,266,6/8/13,298,331,12,-72,850
252,267,6/9/13,299,332,12,-71,849
253,286,6/10/13,300,333,12,-72,852
254,276,6/11/13,301,333,12,-73,852
255,287,6/12/13,302,334,12,-71,850
256,283,6/13/13,303,334,12,-71,849
257,281,6/14/13,304,335,12,-70,848
258,275,6/15/13,305,335,12,-71,847
259,280,6/16/13,306,336,12,-71,848
260,279,6/17/13,307,336,12,-72,851
261,282,6/18/13,308,337,12,-73,850
262,284,6/19/13,309,338,12,-72,848
263,278,6/20/13,310,338,12,-71,849
264,277,6/21/13,311,339,12,-74,846
265,285,6/22/13,312,339,12,-71,845
266,274,6/23/13,313,340,12,-77,849
267,272,6/24/13,314,340,12,-73,848
268,273,6/25/13,315,341,12,-74,850
269,288,6/26/13,316,341,12,-74,851
270,268,6/27/13,317,342,12,-72,849
271,270,6/28/13,318,342,12,-74,849
272,271,6/29/13,319,343,12,-73,847
273,269,6/30/13,320,344,12,-74,846
274,289,7/1/13,321,344,12,-75,847
275,291,7/2/13,322,345,12,-74,849
276,290,7/3/13,323,345,12,-74,847
277,292,7/4/13,324,346,12,-75,850
278,294,7/6/13,325,346,12,-74,847
279,295,7/7/13,326,347,12,-72,848
280,296,7/8/13,327,347,12,-74,848
281,293,7/9/13,328,348,12,-75,847
282,298,7/10/13,329,348,12,-74,847
283,297,7/11/13,330,349,12,-75,848
284,303,7/12/13,331,349,12,-74,848
285,300,7/13/13,332,350,12,-76,849
286,299,7/14/13,333,350,12,-75,849
287,301,7/15/13,334,351,12,-74,852
288,302,7/16/13,335,352,12,-76,852
289,305,7/17/13,336,352,12,-76,852
290,304,7/18/13,337,353,12,-75,853
291,306,7/19/13,338,353,12,-78,848
292,308,7/20/13,339,354,12,-76,849
293,307,7/21/13,340,354,12,-76,851
294,310,7/22/13,341,355,12,-77,852
295,309,7/23/13,342,355,12,-76,851
296,311,7/24/13,343,356,12,-77,850
297,317,7/25/13,344,356,12,-77,851
298,312,7/26/13,345,357,12,-77,853
299,314,7/27/13,346,357,12,-76,853
300,313,7/28/13,347,358,12,-77,851
301,315,7/29/13,348,358,12,-74,850
302,316,7/30/13,349,359,12,-75,852
303,318,7/31/13,350,359,12,-76,853
304,320,8/1/13,351,0,1,-75,853
305,319,8/2/13,352,0,1,-77,854
306,323,8/3/13,353,1,1,-75,855
307,322,8/4/13,354,1,1,-75,857
308,321,8/5/13,355,2,1,-75,857
309,324,8/6/13,356,2,1,-77,856
310,325,8/7/13,357,3,1,-76,857
311,326,8/17/13,366,7,1,-76,861
312,328,8/18/13,367,8,1,-76,862
313,330,8/19/13,368,8,1,-77,863
314,331,8/20/13,369,9,1,-75,865
315,332,8/21/13,370,9,1,-79,865
316,333,8/22/13,371,10,1,-77,865
317,334,8/23/13,372,10,1,-76,866
318,335,8/24/13,373,11,1,-79,866
319,337,8/25/13,374,11,1,-79,866
320,336,8/26/13,375,12,1,-77,867
321,340,8/27/13,376,12,1,-78,870
322,338,8/28/13,377,13,1,-78,870
323,339,8/29/13,378,13,1,-78,869
324,341,8/30/13,379,14,1,-79,870
325,343,8/31/13,380,14,1,-79,870
326,345,9/1/13,381,15,1,-79,871
327,344,9/2/13,382,15,1,-76,872
328,342,9/3/13,383,16,1,-77,874
329,346,9/4/13,384,16,1,-77,875
330,351,9/5/13,385,17,1,-78,874
331,347,9/6/13,386,17,1,-77,873
332,349,9/7/13,387,18,1,-78,874
333,350,9/8/13,388,18,1,-79,875
334,348,9/9/13,389,19,1,-79,875
335,352,9/10/13,390,19,1,-78,875
336,353,9/11/13,391,20,1,-78,875
337,354,9/12/13,392,20,1,-77,876
338,355,9/13/13,393,21,1,-76,877
339,356,9/14/13,394,21,1,-79,878
340,357,9/15/13,395,22,1,-77,878
341,358,9/16/13,396,22,1,-78,879
342,359,9/18/13,397,23,1,-75,880
343,360,9/19/13,398,23,1,-79,880
344,361,9/20/13,399,24,1,-79,881
345,363,9/21/13,400,24,1,-79,881
346,362,9/22/13,401,25,1,-79,882
347,365,9/23/13,402,25,1,-78,883
348,364,9/24/13,403,25,1,-80,883
349,367,9/25/13,404,26,1,-78,884
350,366,9/26/13,405,26,1,-82,885
351,374,9/27/13,406,27,1,-81,886
352,370,9/28/13,407,27,1,-81,887
353,369,9/29/13,408,28,1,-80,887
354,368,9/30/13,409,28,1,-81,887
355,373,10/1/13,410,29,1,-81,888
356,372,10/2/13,411,29,1,-82,887
357,371,10/3/13,412,30,2,-80,888
358,376,10/4/13,413,30,2,-82,888
359,375,10/5/13,414,31,2,-79,889
360,377,10/6/13,415,31,2,-82,890
361,378,10/7/13,416,32,2,-79,889
362,379,10/8/13,417,32,2,-82,890
363,380,10/9/13,418,33,2,-79,891
364,381,10/10/13,419,33,2,-82,891
365,385,10/11/13,420,33,2,-80,892
366,382,10/12/13,421,34,2,-81,890
367,384,10/13/13,422,34,2,-82,891
368,383,10/14/13,423,35,2,-81,892
369,386,10/15/13,424,35,2,-81,893
370,393,10/16/13,425,36,2,-81,893
371,388,10/17/13,426,36,2,-79,893
372,392,10/18/13,427,37,2,-81,893
373,391,10/19/13,428,37,2,-81,894
374,387,10/20/13,429,38,2,-82,895
375,390,10/21/13,430,38,2,-82,896
376,389,10/22/13,431,39,2,-83,895
377,395,10/23/13,432,39,2,-80,896
378,394,10/24/13,433,40,2,-81,895
379,397,10/26/13,434,40,2,-80,896
380,396,10/27/13,435,40,2,-81,896
